status,error_message,backend,sweep_name,model_name,prompt_file,prompt_target_tokens,batch_size,concurrency,max_new_tokens,num_prompts,num_batches,num_requests,prompt_tokens,generated_tokens,total_tokens,total_time_sec,avg_batch_latency_sec,tokens_per_sec,generated_tokens_per_sec,requests_per_sec
ok,,huggingface_generate,concurrency_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_512.jsonl,512,1,1,512,100,100,100,57645,51200,108845,1001.062328495027,10.00753783146036,108.72949356074056,51.14566650107876,0.09989387988491945
ok,,huggingface_generate,concurrency_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_512.jsonl,512,1,2,512,100,100,100,57645,51200,108845,778.261201279005,15.552938592014252,139.85664430029743,65.78768145689034,0.12849156534548895
ok,,huggingface_generate,concurrency_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_512.jsonl,512,1,4,512,100,100,100,57645,51200,108845,960.7203720529797,38.42026758178021,113.29519303042078,53.293342672217776,0.10408855990667534
ok,,huggingface_generate,concurrency_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_512.jsonl,512,1,8,512,100,100,100,57645,51200,108845,1262.6533673719969,99.48370608119993,86.2033894754051,40.549529524927564,0.07919829985337415
ok,,huggingface_generate,concurrency_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_512.jsonl,512,1,16,512,100,100,100,57645,51200,108845,1225.3976303249947,191.47414741453133,88.82422921866807,41.782355974053054,0.08160616401182237
ok,,huggingface_generate,concurrency_sweep,meta-llama/Llama-2-7b-chat-hf,prompts_512.jsonl,512,1,32,512,100,100,100,57645,51200,108845,1191.3724746289663,370.3406086744217,91.36101623793013,42.975644553098654,0.08393680576777081
